Date,Age,Game_result,Opponent,Points,Asists,Rebounds,Turnovers,Steals,Blocks,Minutes_played,Fg_pct,Fg3_pct,Ft_pct,Season
1996-11-01,18-070,W (+14),PHO,,,,,,,,,,Did not play,1996-97
1996-11-03,18-072,W (+6),MIN,0,0,1,1,0,1,6:22,.000,,,1996-97
1996-11-05,18-074,W (+6),NYK,1,0,0,1,0,0,3:16,.000,,.500,1996-97
1996-11-06,18-075,L (-10),CHH,5,0,0,3,0,0,6:49,.667,.500,,1996-97
1996-11-08,18-077,L (-1),TOR,10,0,3,0,0,1,17:15,.375,.667,.500,1996-97
1996-11-10,18-079,W (+7),ATL,2,1,3,0,0,0,8:25,.000,,1.000,1996-97
1996-11-12,18-081,W (+11),HOU,2,0,1,2,0,0,5:03,.500,.000,,1996-97
1996-11-13,18-082,L (-12),SAS,6,0,0,0,1,0,6:06,1.000,1.000,1.000,1996-97
1996-11-15,18-084,W (+7),LAC,4,0,0,1,0,0,7:01,.250,.000,.667,1996-97
1996-11-17,18-086,W (+14),PHO,16,2,2,4,0,0,14:29,.625,.667,1.000,1996-97
1996-11-19,18-088,W (+3),GSW,3,1,2,1,0,0,7:47,.000,.000,.750,1996-97
1996-11-20,18-089,L (-16),UTA,11,1,1,2,0,1,20:32,.800,1.000,,1996-97
1996-11-22,18-091,W (+10),SAS,,,,,,,,,,Did not play,1996-97
1996-11-24,18-093,L (-5),HOU,,,,,,,,,,Did not play,1996-97
1996-11-26,18-095,W (+12),PHI,12,1,1,3,0,0,20:52,.400,.400,1.000,1996-97
1996-11-27,18-096,L (-16),BOS,2,1,4,2,0,1,19:33,.143,.000,,1996-97
1996-11-29,18-098,W (+8),DET,1,0,1,0,0,1,6:35,.000,,.500,1996-97
1996-12-01,18-100,W (+8),DEN,2,0,1,1,0,0,2:41,.500,,,1996-97
1996-12-03,18-102,W (+4),SEA,,,,,,,,,,Did not play,1996-97
1996-12-04,18-103,L (-26),UTA,8,2,3,1,0,0,13:24,.333,,.667,1996-97
1996-12-04,18-103,L (-26),UTA,,,,,,,,,,Did not play,1996-97
1996-12-06,18-105,W (+11),ORL,,,,,,,,,,Did not play,1996-97
1996-12-08,18-107,W (+24),MIN,11,3,3,3,2,2,22:02,.300,.000,.833,1996-97
1996-12-10,18-109,W (+2),SAC,0,1,1,1,1,0,6:07,.000,.000,,1996-97
1996-12-11,18-110,W (+3),IND,,,,,,,,,,Did not play,1996-97
1996-12-13,18-112,W (+1),POR,,,,,,,,,,Did not play,1996-97
1996-12-17,18-116,L (-6),CHI,5,0,1,0,0,1,9:48,.400,.500,.000,1996-97
1996-12-18,18-117,W (+6),MIL,0,1,3,1,0,1,7:49,,,,1996-97
1996-12-21,18-120,L (-15),MIN,5,0,1,3,0,1,11:38,.667,.500,,1996-97
1996-12-25,18-124,W (+21),PHO,0,0,1,0,0,0,5:12,.000,.000,,1996-97
1996-12-27,18-126,W (+7),BOS,,,,,,,,,,Did not play,1996-97
1996-12-29,18-128,W (+13),PHI,0,0,1,1,1,0,6:31,.000,,,1996-97
1997-01-02,18-132,W (+7),SAC,4,2,1,0,1,0,10:29,.667,.000,,1996-97
1997-01-03,18-133,W (+7),SAC,21,1,5,0,2,2,22:16,.600,.000,.900,1996-97
1997-01-05,18-135,W (+13),VAN,16,3,5,2,1,0,28:48,.667,1.000,.750,1996-97
1997-01-06,18-136,L (-4),POR,8,2,2,2,2,0,23:12,.333,.333,.500,1996-97
1997-01-08,18-138,W (+4),CHH,9,2,1,2,2,1,21:32,.308,.000,.500,1996-97
1997-01-10,18-140,W (+9),MIA,2,0,3,2,0,0,7:46,.333,.000,,1996-97
1997-01-14,18-144,W (+10),VAN,2,0,0,0,1,0,5:34,.167,.000,,1996-97
1997-01-16,18-146,L (-4),POR,,,,,,,,,,Did not play,1996-97
1997-01-18,18-148,L (-3),DET,21,5,2,4,1,0,32:20,.615,.600,1.000,1996-97
1997-01-18,18-148,L (-3),DET,,,,,,,,,,Did not play,1996-97
1997-01-20,18-150,W (+10),DAL,6,1,2,5,1,0,13:24,.429,,,1996-97
1997-01-24,18-154,W (+17),GSW,17,4,6,3,1,0,24:54,.500,.250,1.000,1996-97
1997-01-26,18-156,W (+1),SEA,7,1,1,3,1,0,17:02,.500,1.000,,1996-97
1997-01-28,18-158,W (+19),DAL,12,2,3,3,2,1,31:45,.455,.000,.667,1996-97
1997-01-29,18-159,W (+7),SAS,19,0,4,3,2,2,29:51,.500,.429,1.000,1996-97
1997-02-02,18-163,W (+30),WSB,13,3,3,1,0,0,24:00,.222,.000,1.000,1996-97
1997-02-04,18-165,L (-22),LAC,6,0,3,2,2,0,22:32,.200,.000,1.000,1996-97
1997-02-05,18-166,W (+16),CHI,5,0,3,0,0,1,12:40,.286,.500,,1996-97
1997-02-12,18-173,W (+16),MIN,2,3,2,1,0,1,11:02,.000,,.667,1996-97
1997-02-13,18-174,W (+15),DEN,9,3,2,1,1,0,20:00,.400,.500,,1996-97
1997-02-16,18-177,L (-11),SEA,0,0,1,2,0,0,12:55,.000,.000,,1996-97
1997-02-19,18-180,L (-19),CLE,10,0,2,1,0,2,23:27,.429,.500,1.000,1996-97
1997-02-21,18-182,W (+8),VAN,2,0,1,2,0,0,5:15,1.000,,,1996-97
